number,title,author,star rating,percentage,page count,year pub,genre,sub-genre,date started,date read,time length,review, ,favorites of the year
69,the seven year slip,ashley poston,4.50,90.00%,336,"2,023",romance,magical realism,2024-11-02,2024-11-05,4.0,"ah yes another romance book that the mc struggles to navigate life and overcoming difficulties and finding themselves that made me cry because it's painfully relatable at the present moment. i also do love that it's a time-traveling(ish) book, it has food involved, and it takes place in nyc, all things that quickly win me over.

but despite all, it did take a few chapters to get hooked, i think it was around the point where for the first time, clementine finds that she can't go back in time when she wants to. it hooked me instantly and i sped read it all today after that point ahaha

i was charmed by both iwan and clementine, how they were struggling in life, both past and present, and reflecting to try and change things. their chemistry from the start was solid and drew me in as they continued to interact with each other. i love how their lives were becoming intertwined, even if they have never met, yet other people, or even themselves might have passed each other before. the beauty of time travel related stories. <3

the plot was good, nothing overtly complicated, just enough complication with the whole time traveling and mid-life crisis aspects. pacing felt smooth, other than the rocky parts in the beginning, but looking back, made sense given the context of grief, how the plotline would feel rocky and dark as clementine is just recently coping with the loss of her close aunt, especially now living in her apartment.

overall i really really loved it and it was fun yet emotional from the life contemplation to different aspects of clementine trying to have timelines line up just to get the right timing with iwan..

(rounded up to 5 stars on goodreads bc it was that much enjoyable)", ,
70,this summer will be different,carley fortune,3.50,70.00%,320,"2,024",romance,small-town,2024-11-06,2024-11-08,3.0,"man i read this quickly despite it felt like it took a while to read lol

but really, this book was fun, but also agonizing? i felt like the plot and main conflict of the story of bridget (allegedly) running away from her wedding, would drag so much and had the feeling where the author kept putting it off in a way? which was annoying and i kept putting down the book in periods because i felt that way too many times while reading the book. not to mention that the ending/conclusion just kept going?? like wdym i'm only wrapping up part 2 and there's a whole part 3 even though a good chunk of the conflict was resolved?? the splitting of the two things, do make sense and i'm not sure how i would rework the plot of the book to make it better? but i didn't like the whole plot development and pacing, as it felt a bit messy.

but despite so, i do really like small town story settings and this was very fun. the characters felt very real and developed, with their intricacies and relationships fleshed out. i also liked that we first get to sit with the core of the characters, with lucy, bridget, and felix, before we open up with each of their worlds a little more and more with their own problems and relationships. 

i love lucy and felix's relationship, especially with the flashback chapters. seeing how their relationship developed and fractured over the years with the layers of miscommunication and secrets. despite my annoyances with the plot pacing and development, (slight spoiler but will be vague) i do like that they did take a pause on things and sort themselves out before reconsidering. 

overall, i think the book was fun but my annoyances with how the plot was laid out is too big of a factor and have to dock some points..", ,
71,the mysterious affair at styles,agatha christie,3.75,75.00%,174,"1,920",mystery,adult,2024-11-12,2024-11-16,5.0,"started reading on a whim as i've always wanted to read agatha christie but never did until now, and these novels are fairly short, which would help me in my futile attempt to read and catch up to 90-100 books this year..

the story was a bit slow in the beginning, as i was trying to get used to the pacing and writing style. i did hear that this book was kickstarted by a bet and was a weekly serial initially which is cool. 

don't want to get into the details, but once the investigation started was when i started to be captivated by poirot and his maddening method of investigating. i did have a few guesses as to who did it, but would second guess myself, like hastings on who did, after more evidence and information was collected haha. 

looking forward to reading more of poirot :)", ,
72,charlotte's web,e.b. white,5.00,100.00%,184,"1,952",magical realism,children,2024-11-16,2024-11-17,2.0,"i’ve read this book countless times growing up, and it’s nostalgic reading it 

and i am annoyed at my teenaged self for donating my old copy of this book and have to eventually get one for my collection </3

beloved charlotte, how she is witty and clever. goofy wilbur, and the rest of the barn cast and their zaniest yet support of wilbur. these characters are so lively to me, and fun to read about.

but i will definitely read this again in the future and yes i still will tear up at those ending chapter every time :’) ", ,
73,the voyage of the dawn treader,c.s. lewis,4.25,85.00%,248,"1,952",fantasy,children,2024-11-09,2024-11-20,12.0,"a good one. i would still say my rankings so far stand with this series. i think i had this as 3rd or 4th favorite. 

reading this as i’m older, i enjoy the “excessive” allusions. i like how they play into the story even if they don’t necessarily make sense plot narrative wise . it does add a lot of whimsy for sure. the chapter in the dark island felt very poignant to me personally, that there is light to guide us though the darkness

the plot is different from previous books as they go on adventures through the lone islands to find these lost lords from the calormen days(?). despite the different issues that happen around every island, it did feel more easy going than a war like in lion the witch and the wardrobe or prince caspian. not that it’s bad, but a big difference in pacing and flow of the story

overall it was fun and certain scenes became vivid because i remembered them directly from the movie i watched over 10 years ago lmaoo", ,
74,the fiancé dilemma,elena armas,4.00,80.00%,432,"2,024",romance,small-town,2024-11-20,2024-11-25,6.0,"this really was a whole lot better than the long game,, lmao. not sure if it's because of the premise? so that drew me in more and kept me entertained? though like with the long game, there were still definitely points where i was just reading to move on and find out what happens

i think overall the plot was okay. it delivered what was promised, and didn't bother me that much? definitely a character driven plot, and a very simple one, leading off the pretend marriage trope. there were points in the story where i felt like it was holding out on details, just for the sake of dragging out the plot. like at some point, i was like, we get it, josie has abandonment issues and really goes for that flight, in fight or flight scenarios and doesn't address or open up about her problems, to literally anyone.. until matthew starts forces it out of her. like c'mon man this is the 4th5th time of this song and dance, this issue keeps cropping up and getting shoved into a box that is visibly overflowing..

but speaking of characters, i really did love matthew a lot. a mix of both sides, the sweet and goofy yet serious and firm. blond hair and glasses?? kind, loveable dork type ML? fantastic. but also now looking back on it, almost too perfect? like for a story with the mc having commitment fears because of abandonment issues, the guy really doesn't have a whole lot of his own that he needs to work through? though i guess josie's the one with greater problems and he has only minor problems of lying about his past ties in the grand scheme of things... so i guess he was a good ML to have in contrast with the falling apart MC. lol 

idk man i liked reading it in the moment but after reflecting back and getting into some details of what actually happened and breaking them down.. idk if i'm completely sold lmao. but i would say i would place this book second, with spanish love deception being first, for elena armas' books. definitely a lot better, reading experience wise, though maybe the commonality was they were both fake-dating?? interesting...", ,
75,not another love story,julie soto,4.25,85.00%,384,"2,024",romance,adult,2024-11-25,2024-11-26,2.0,"ngl it all makes sense but i didn't realize it until i read the acknowledgements that this was a repurposed fanfic lmaoo and OFC it's reylo

but despite that i really liked this book? i flew through, and yes looking back there are some issues aha which i had to dock some partial stars for. but it did make me very nostalgic for my orchestra days in high school, especially with the auditioning and first chair moments. and to top it off it takes place in new york? more fun

on to more of the slight issues i have looking back, first i feel like the transition from enemies to lovers was very sudden and did feel a tad insta-lovey, especially that it happened sooner in the book than i expected. almost like i wanted the tension between alex and gwen to grow a bit more, to breathe before moving onto the romance.. but maybe that's just me.

i can see why it would be an issue to others, how alex was starting to slip into the more manipulative? controlling parts that we see in the obvious antagonists of calvin and nathan, especially in how he interacts with gwen, despite maybe having her best interests, but ultimately not letting her choose for herself. i did like that their relationship was veering into a younger parallel of nathan and ava, to explain the hidden complexities of alex's relationships and tumultuous past. but my goodness, the antics of both calvin and nathan irritated me so much, how blatant they were throughout the book, yet our mc and ml were kinda blinded? from it or just so easy to accept it and turn a blind eye GAH.

as mentioned, i enjoyed the orchestra elements, how they played into the character conflicts, both internal ones and relationship ones. the crux of the conflicts being such a common yet resonating? theme of finding oneself and being stuck between security and passion, as well as identity vs familial/group comfort. 

the spice scene were a tad too much for me personally aha but i do like the metaphorical element of passion of music bleeding into intense emotions, or even being one of the same, especially when playing with each other, having so much tension already

also i do like how it ended, but how things wrapped up felt so fast and neat? when for having such complications in multiple relationships in the book, it was resolved so quickly and often not fully on the page but offscreen :/ maybe it is because of it being within the romance genre adds to this almost rush to join them back together, but it does always slightly bother me when the ending doesnt have a smooth landing compared to how the pacing and plot flow of the rest of the book went. 

overall, i think it was a fun read and i enjoyed it, as i read it within 24 hours haha but there were definitely some faults, mainly minor ones with the plot development", ,
76,a werewolf's guide to seducing a vampire,sarah hawley,3.75,75.00%,444,"2,024",romance,paranormal,2024-11-26,2024-12-01,6.0,"i definitely liked this book more than the previous one in this sorta series, though i think the first book places slightly higher than this one in a series ranking.

overall, very fun and like the whole debacle of a timid man with a powerful woman, but the curse places them in a traditional relationship stance? structure? and the awkwardness and conflict that ensues because of the curse, along with their own struggles that they were going through in this book. plot wise, it was fun and engaging, very character driven as do many romance novels go, other than the accidentally drunken purchase of a plastic crystal holding a curse/blessing subplot. 

the romance makes sense in hindsight with these character dyanmics, both in the different personalities and cultural backgrounds but also the curse too. but i wasn't the most crazy about it, especially with the whole half vampire/succubus thing. like that was a roundabout way to basically explain why eleanora was human and presumably could live the rest of her life growing old with ben. and the sex drive, bc hey! it's a spicy romance book! idk felt a bit gimicky and for the trope just being thrown in there. idk. but then again, i prefer intimate scenes to have a purpose in character and relationship plot/arcs not just to have it bc it's a book in the adult romance genre so they have to have sex....so yeah

oH right the campaign thing. in theory was cool but i got kinda bored and annoyed, maybe because ben was getting a bit steamrolled (unintentionally) with things on his plate, so midway through the book just started skipping a lot of those scenes... but it was fun seeing the scooby gang with their cameos, and their distance and their distanced? appearances make sense as ben is more in his shell on top of helping eleanora get used to modern day society and knowledge. but the gradual integration was nice and i always love and appreciate friend group dynamics. 

overall this was mostly fun to read, some things that i didn't care for personally, but i do enjoy a more relaxed paranormal setting for a book here and there. if sarah hawley writes another book in this series i would eventually get to reading it, just bc they're easy chill reads but not like a immediate library request i guess haha

also sidenote, ben working with plants through the book made the itch of buying another house plant even though i have so many, kept happening lolll", ,
77,the exception to the rule,christina lauren,4.50,90.00%,101,"2,024",romance,holiday,2024-12-02,2024-12-02,1.0,"wanted a short and sweet book to read, and after finding this short stories series from my goodreads feed, along with another holiday themed series, maybe i can reach that 100 book goal with these little ones haha

but this was very very cute and the email correspondence in the majority of the book was fun though i was reading too fast that i got lost keeping track of who was saying what (skill-issue xd) and how the two characters joined up was endearing yet chaotic and once they finally met i was yearning for more story but it wrapped up pretty much there, every point in time being roughly around valentine's day. man that reminds me i should read one day, since i do really like this method of storytelling", ,
78,worst wingman ever,abby jimenez,4.25,85.00%,61,"2,924",romance,holiday,2024-12-08,2024-12-08,1.0,"this one was a cute, yet melancholy one. i did still like it even if it was undercut with not only the fmc being a hospice nurse, but she was also taking care of her dying grandmother. it reminded me of when i was younger, visiting my grandmother in hospice 🙂 it did add that level of realism, how things in life can change at difficult times as well. 

but yeah this story was cute, a good mix of sad and happy moments. and like with the first story, i enjoyed the letter exchanging", ,
79,the murder on the links,agatha christie,4.00,80.00%,199,"1,923",mystery,adult,2024-12-08,2024-12-08,1.0,"thanks to audiobooks and my penchant for being nauseous with transportation, i knocked out this one fast while traveling. 

one review made me laugh because they summarized my feelings about hastings this book: quite annoying. yammering on about a woman (of questionable age) many times of different women, that she’s the love of his life. yeck. just ick. poirot making fun of hasting’ flightly attitude was amusing and cut through my annoyance. 

like with the murder at the styles, i did enjoy the layers of the mystery as well as the classic red-herrings and misdirections. 

overall very fun and the pacing/reading speed helped with listening to the dramatized audiobook", ,
80,staged,elle cosimano,3.50,70.00%,43,"2,024",mystery,adult,2024-12-09,2024-12-09,1.0,"felt like reading a quick mystery but this was.. meh. maybe because it's in the confines of a short story, but felt like the mystery didn't get a chance to, develop? marinate? the premise held promised but i feel like it would be definitely better if it was a bit longer, maybe some misdirection and plot development.. hm? 

but i've been enjoying these short story collections even if they are kinda mid lol", ,
81,hero of ages,brandon sanderson,4.75,95.00%,572,"2,008",fantasy,adult,2024-08-31,2024-12-16,108.0,"i have finished!! after a slightly embarrassing (just bc i procrastinated reading when i had access every time xd) three rounds of library holds and marathoning the majority of the book in the last week of the last round of the library holds.. i feel like crying but only small tears to come out

yeah i really get it now, brandon sanderson's work, insane. lol this being the start of the cosmere universe?? i'm excited to continue.

truly, i love love the plot development, especially in this book, how all the pieces fall into place, reaching back to even all the way to the first book, connecting and expanding upon such simple ""truths"" we learned, growing bigger and bigger into the vast world of the final empire. a lovely mix of politics, and fantasy magical power elements. with a nice tossing of various relationships, from romantic, platonic, to even acquaintances and adversaries and associates. how they all blended together jumping through different perspectives to convey such an intense plotline. the pacing was solid and every reveal felt just right, shocking and excitement for how it will continue in the story.

the character arcs, insane. looking back with book 1 & 2, truly get to see significant changes in our main girl vin, but also the rest of the cast. i love vin and elend :^) so much. how the two of them grappled with becoming emperors and dealing with not only politics and war but also fighting against an omnipresent god??? their wits, smarts, and cleverness. (and they end happy and contented! this is sorta a spoiler but i'm keeping it vague aha) how much they learn during their journey in this book, both separately and together, as well as working together as a couple. i love the main relationship messaging was about trust, such great trust for each other, it was almost like a level of communication with no words needed. that they knew the best of each other and trusted that the end goal would work out. 
as well and sazed, even as in this book he undergoes a life crisis, mixed in with depression from the events of the end of book 2. i admire and relate to his love of knowledge and research, how he navigated through his struggles to reach the final truth, the realization and acceptance (of different instances though not stating for major spoilers ehe). 
much surprise that spook was a bigger player in this book, coming out of his shell per say, was wary about his sections but grew to sorta enjoy his part of the greater story maybe bc as his pov continued there was more connection with the overall plot. 
oH and i almost forgot about tensoon's pov/arc. loved it, and loved learning more about the kandra as he essentially gives himself up thinking he's doing the right thing since he technically betrayed his people, even if it was for the greater purpose..and it makes sense as a sub-antagonist but i got so annoyed at kanpaar lol
though ofc vin's was the top holding interest

with how much i seem to take my time reading brandon sanderson i am slightly nervous about the next books, even seeing the way of kings being 1k? pages? i think the longest book i've ever read is 800? so that's pretty intimidating to say the least aha but yeah. glad to finish this trilogy this year as it's been something i've been meaning to read for years, nearly a decade i would guess.", ,
82,poirot investigates,agatha christie,4.00,80.00%,191,"1,924",mystery,adult,2024-12-10,2024-12-16,7.0,"this was fun and i think i liked adventure of the western star, the veiled lady, and the kidnapped prime minister the most. though the jewel thief and the egyptian curse were close after. but i think i do like the fullness of a novel compared to a short story as the characters and mystery feels more developed

overall rating 4 stars
avg rating: 3.95 stars
---

individual reviews:

the adventure of the western star
hastings tries his best to figure out the mystery, with him beaming at poirot for his success, only to be bested by poirot, as he jumped ahead too quickly. classic.
4.25 stars

the tragedy at marsdon manor
shorter but still interesting. i think i just about grasped the story, simple yet still some misdirection happening. 
4 stars

the adventure of the cheap flat
was interesting but not as good as the previous one, maybe because i just about grasped all the characters and pieces.
3.75 stars

the mystery of hunter's lodge
same as the previous, was interesting but wished it was a bit longer, fleshing out the story instead of jumping to the conclusion. the whole twisted family involved was interesting though.
3.75 stars

the million dollar bond robbery
clever of how the criminals got away with stealing the bonds, though with poirot on the case, nothing to be hidden forever! lol but yeah i felt like again, things were just told and hurried along
3.75 stars

the adventure of the egyptian tomb
i liked this one, maybe because it involved mythology and poirot being sneaky with how he presents himself to others, especially those in the case. using logic in what would be perceived as an illogical situation of a egyptian curse
4 stars

the jewel robbery at the grand metropolitan
this one was fun, maybe because it had some slight misdirection and multiple suspects.
4 stars

the kidnapped prime minister
very interesting, clever way of how the criminals went about it, but yet poirot strikes again. was fun to read
4.25 stars

the disappearance of mr. davenheim
was interesting, having poirot solve the mystery without ever interacting with the people involved. though reading not as fun as the other stories because of it lol
3.75 stars

the adventure of the italian nobleman
i kept having to reread, being lost of the plot, maybe because i was multitasking lol
3.75 stars

the case of the missing will
was fun and different, this time finding a will by a clever old uncle
4 stars

the veiled lady
was interesting, fun to read. the method of the mystery was clever.
4.25 stars

the lost mine
not as interesting maybe because involving chinese? leaves a weird taste remaining
3.75 stars

the chocolate box
melancholy but still interesting and fun to read 
4 stars
", ,
83,the murder of roger ackroyd,agatha christie,4.25,85.00%,288,"1,926",mystery,adult,2024-12-16,2024-12-20,5.0,"as i've been reading through the hercule poirot series, i've heard so much about this one, though with the recent adaptations of orient express and on the nile, i have heard of those before reading the series. i was hesitant, as this book was high on many lists of books to read.. and without giving much away i'd agree with those sentiments. though nowadays the plot narrative is more common but for its time it was definitely unique and surprising as a murder mystery

i really enjoyed it, reading from the perspective of dr. shepherd, a departure from captain hastings in the previous books. a nice break from his perspective, especially when i was growing to get annoyed by his odd commentary. poirot as usual is a standout in the series, from how he talks, his thought processes and how he uncovered the mystery after many many interviews and interactions with the entire cast of people of king's abbot

i'm curious to eventually read this in the future, to see if i could then pick up on the hints and red herrings that agatha christie laid out, as it took me until the second to last? chapter of the book as poirot was detailing all the information again. for being a person that can predict storylines from consuming so many stories, something so simple as a ""cozy"" agatha christie murder mystery threw me off haha", ,
84,the reunion dinner,jesse q. sutanto,3.25,65.00%,35,"2,024",mystery,adult,2024-12-21,2024-12-21,1.0,"mixed feelings
i think that it was interesting reading a murder mystery about a chinese family, as it's not often a scenario, at least for me, that i'm used to or have read much of. though the mystery was over pretty quick and wish it had a bit more depth to it. wasn't crazy about the main character, josephine to have an accent but once it was cleared that she was in her 60's? or something it could make more sense but not that major in the grand scheme of things. just had that tinge of cliche feeling, with the overall story.

it was alright, a nice quick read to help boost my book count for this year lol", ,
85,only santas in the building,alexis daria,3.50,70.00%,65,"2,024",romance,holiday,2024-12-23,2024-12-23,1.0,"this was cute conceptually then alright overall aha
i liked the two characters and their interactions, but transitioning from those brief interactions to the christmas party with their more, should I say intense? moments felt a tad rushed to me. theo felt a little too mr perfect like he was a romance caricature imo as we got more details about him, though the christmas decorations were sweet. ", ,
86,crime of fashion,emma rosenblum,3.75,75.00%,40,"2,024",mystery,adult,2024-12-23,2024-12-23,1.0,"a chaotic mystery in such an intense world of the fashion industry
i liked the build and setup as well as how the mystery of the missing bulgari necklace unfolded. it felt nice when the story wrapped up with the whole mystery unveiling, and the little twist at the end", ,
87,the big four,agatha christie,4.25,85.00%,272,"1,928",mystery,adult,2024-12-22,2024-12-26,5.0,"yes this was essentially a collection of short stories of a chaotic story that has some plot holes and not fully developed. but yet it was so much fun to read with the whole chaos and not the typical hercule poirot mystery novel

slight annoyances but they were common of the time, as an asian person how they refer to the chinese people in this story was unsavory and uncomfortable to read, to say the least. 

i did like the aspect of this mystery of catching the big four over the course of many many months with its kidnappings, cyphers, and disguises of many other of the trope aspects, yet amusing to have nonetheless. reading about poirot and hastings try and fail many times to outwit and outmaneuver the big four, a nearly supervillain feel to them as the story progressed

overall surprisingly fun, chaotic and not fully making sense but tagging along in the mania", ,
88,merriment and mayhem,alexandria bellefleur,3.50,70.00%,58,"2,024",romance,holiday,2024-12-26,2024-12-26,1.0,"fun and interesting at first, chaotic accident prone (at least at the current moment as the mc alleges) and firefighter romance. it kinda wrapped up very fast for me, maybe because i feel like spice/sex moments, unless for a certain type of style of story, needs to be built up with the couple's relationship outside the tension. idk maybe it's the picky part of me wanting that build up and for it to make sense and not just have it just to have it, which is my preference. 

it was fun but alright ", ,
89,the mystery of the blue train,agatha christie,4.25,85.00%,317,"1,927",mystery,adult,2024-12-26,2024-12-27,2.0,"i enjoyed this one, maybe moreso because we have a female sidekick? to poirot, that of katherine grey, who too enjoys mystery/detective novels heh

thanks to the audiobook was able to zoom through this one, as i'm coughing in bed. aha
the whole build up was good, setting the pieces as we first meet ruth kettering and her millionaire father, to the cheating husband in-law and his intense french mistress, as well as the rest of the cast, when we start to board the train. this group of characters was fun to read about, as we get red herrings and misdirections or hints from character interactions that happened prior to the death of ruthie was fun to entangle. and as of course i didn't figure it out, though loosely did guess part of it right, just didn't realize who were the actual people involved haha", ,
90,all by my elf,olivia dade,2.50,50.00%,55,"2,024",romance,holiday,2024-12-27,2024-12-27,1.0,"i think out of all the stories in this collection this one was the least christmassy (that i've read so far) and also the character development or background was non-existent and just being told retroactively. basically not doing the whole ""show not tell"" mantra

and it was quite obvious to me??? that william liked her??? miscommunication trope but done pretty badly. ", ,
91,merry ever after,tessa bailey,3.50,70.00%,59,"2,024",romance,holiday,2024-12-28,2024-12-28,1.0,"was cute for the most part but alright for the rest. had more plot and development than some of the others in this collection of short stories which i appreciate

this loosely having christmas energy is a very strong loosely with only mentions of presents and it being christmas eve here and there which is meh

idk im continuing reading this series even though after finishing 3/5 i realize it's not my taste lol but here i am just to feebly attempt to get to 100 books this year haha", ,
92,the nosy neighbor,nita prose,3.75,75.00%,29,"2,024",mystery,adult,2024-12-29,2024-12-29,1.0,"this was amusing to read and though i guessed part of the twist, it being fully revealed was fun to read and not something i expected. sure not the same cleverness of a hercule poirot novel but still a goofy, and enjoyable mystery nonetheless.", ,
93,rosie and the dreamboat,sally thorne,4.25,85.00%,44,"2,024",romance,holiday,2024-12-30,2024-12-30,1.0,"idc this was endearing and cute. though so far nothing tops the first story for me lol
it was a bit cringey? i guess looking back but again, saw it more as cute romcom and not cringe romance hallmark movie. yes a little cliched with the whole magical girl transformation (even if it's just rosie's perspective that transforms) but who doesn't like them??", ,
94,"drop, cover, and hold on",jasmine guillory,3.50,70.00%,40,"2,024",romance,holiday,2024-12-30,2024-12-30,1.0,"was alright, i think i liked it more than i would just because it involved a bakery and pastries which are my favorite but otherwise.. was alright haha", ,
95,one lucky subscriber,kellye garrett,2.50,50.00%,39,"2,024",mystery,adult,2024-12-30,2024-12-30,1.0,"honestly quite cringey, with the whole youtuber mr beast-esque person centering around the whole story of a challenge involving a prize cache. bleh. maybe especially more dislike as i never liked that genre of youtube videos lol", ,
96,cruel winter with you,ali hazelwood,4.25,85.00%,73,"2,024",romance,holiday,2024-12-31,2024-12-31,1.0,"this was really cute and glad i saved it for last to read of this collection. i ofc do wish we got a little more length in story, but out of all of them, this felt the most full and succinct of short stories. we got to know the characters and their backgrounds, jamie and marc from when they were little growing up to how their relationship changed over the years. 

thank you for this collection for boosting my reading books count for the year lmaooo", ,
97,the most wonderful crime of the year,ally carter,4.50,90.00%,295,"2,024",romance,mystery,2024-12-22,2024-12-31,10.0,"this was quite the perfect (""full"") book to finish the year, especially as i have been reading a lot of agatha christie books the past month. once the main plot of the infamous mystery novelist is missing was unfolding, i quickly clocked that it was definitely an homage to agatha christie, in both her work and her mysterious disappearance. i love the nice mix of (misunderstanding) enemies to lovers, but it doesn't overtake the plot too much, and a mystery novel. also the fact that this was marketed as a knives out (which i guess matches with the whole perfect mystery falling into place but that's just common of the genre imo... maybe the entitled relatives of the rich missing author... i guess??) which is one of my favorite movies, though doesn't fully fit as a description, makes me happy 

despite ally carter novels being popular growing up, i don't think i read any? until now and definitely want to look back at the classic ones that i've always heard about but never read. 

maggie was so heartbreaking and endearing to me. yes, i could see that she would seem a little cliche-d with the whole messy back story, but then with our ml of ethan, he also had a less messy but still complicated backstory. they balanced each other out in that way, of both their issues that they needed to work through, and how they viewed the mystery, with ethan assuring and assisting her when maggie struggles to take charge of, frankly her life.

overall i loved the mix of christmassy, agatha christie mystery, and romance genres in this book. ", ,
98,a classic case,alicia thompson,3.50,70.00%,45,"2,024",mystery,romance,2024-12-31,2024-12-31,1.0,"maybe because the other stories in this collection were murder mysteries, i was expecting this one to be, so i was suspicious of grant the entire time lmao but he's alright and audrey is alright too

idk this was a little fun but wish it had a little something more", ,
99,with any luck,ashley poston,3.75,75.00%,43,"2,024",romance,holiday,2024-12-31,2024-12-31,1.0,"this was a cute concept but felt too fast (or maybe i was speed reading to finish this before 2024 ends lolol)
but really if this idea of the love women, focusing on audrey meeting or kissing someone for them to find their soulmate the next time, sounds like a good romcom story and would be so good if it was expanded into a full novel. 

but still fun and cute, with the whole enemies to lovers (except i swear this trope needs a full book for the enemies part to solidify for the reader before it transitions into lovers) of the best woman and man of honor. ", ,
100,royal valentine,sariah wilson,3.50,70.00%,71,"2,024",romance,holiday,2024-12-31,2024-12-31,1.0,"i think conceptually i would've loved it more if those annoying accent word changes weren't in the dialogue bc they really irked me. but otherwise premise was fun and i'm always a sucker for royal romance stories, and the whole switch/roman holiday circumstance is fun. but man it felt rushed and like i didn't get a moment to enjoy and learn more about ilaria and callum, as well as their growing relationship. i dont remember from previous stories other than the one just before this one mentioning ilaria, but i liked how it connected this story to seemingly? the other ones? the nod to callum from the first story was fun as i always enjoy those easter eggs/cameos.", ,
, ,,,,,,,,,,,, ,
,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
